nome,cpf,telefone,instituicao
Carlos Eduardo Silva,12345678901,11999881122,UVA
Maria Fernandes Oliveira,98765432100,11988772233,UVA
João Pedro Santos,45678912302,21977663344,UVA
Ana Paula Souza,78912345603,31966554455,UVA
Lucas Gabriel Lima,32165498704,41955445566,UVA
Juliana Ribeiro Costa,65498732105,51944336677,UVA
Fernando Henrique Rocha,15975346806,61933227788,UVA
Camila Martins Alves,35715924607,71922118899,UVA
Rodrigo Barbosa Lima,85296374108,81911009900,UVA
Patricia Mendes Castro,74185296309,91900991122,UVA
